nodo,parada,modo,grado,intermediacion,cercania,pagerank
crtm_red_transporte_madrid:1474,Sepúlveda - Concejal Francisco Jiménez,emt,5,0.02696,0.0472,0.000558
crtm_red_transporte_madrid:719,La Peseta - Valle Del Boi,emt,2,0.02685,0.0515,0.000296
crtm_red_transporte_madrid:3350,Mediterráneo - Pérez De Ayala,emt,2,0.02668,0.0579,0.000257
crtm_red_transporte_madrid:2620,Castrillo De Aza,emt,2,0.02657,0.0456,0.000282
crtm_red_transporte_madrid:720,La Peseta - La Fortuna,emt,2,0.02628,0.0493,0.000301
crtm_red_transporte_madrid:3351,Mediterráneo - Pío Felipe,emt,2,0.02608,0.055,0.000259
crtm_red_transporte_madrid:4353,Indalecio Prieto - Camino Viejo Vicálvaro,emt,2,0.02602,0.0607,0.000266
crtm_red_transporte_madrid:2621,Avenida Santa Eugenia - Castrillo De Aza,emt,2,0.02597,0.0438,0.000286
crtm_red_transporte_madrid:4265,La Fortuna - Joaquín Turina,emt,2,0.02574,0.0474,0.000296
crtm_red_transporte_madrid:3556,Indalecio Prieto - Los Juglares,emt,3,0.02561,0.0574,0.00041
crtm_red_transporte_madrid:2617,Avenida Santa Eugenia - Virgen Las Viñas,emt,3,0.02547,0.0421,0.000412
crtm_red_transporte_madrid:1546,Ginzo De Limia - Sangenjo,emt,6,0.02546,0.0451,0.000687
crtm_red_transporte_madrid:1487,Castellana - José Vasconcelos,emt,10,0.02542,0.0506,0.001378
crtm_red_transporte_madrid:359,Colonia Aviación,emt,3,0.02535,0.0456,0.000419
crtm_red_transporte_madrid:65,Biblioteca Nacional,emt,6,0.02525,0.0618,0.000638
crtm_red_transporte_madrid:5943,Niceto Alcalá Zamora - Ana De Austria,emt,4,0.02521,0.0512,0.00048
crtm_red_transporte_madrid:1927,Santa María De La Cabeza,emt,5,0.02515,0.0585,0.000542
crtm_red_transporte_madrid:3108,Josefa Valcárcel - General Aranaz,emt,2,0.02493,0.0588,0.00026
crtm_red_transporte_madrid:73,Cibeles,emt,6,0.02486,0.0616,0.000636
crtm_red_transporte_madrid:3195,Orovilla - Generosidad,emt,4,0.02486,0.0416,0.000491
crtm_red_transporte_madrid:4763,Fuente Carrantona - Avenida De Daroca,emt,3,0.02479,0.0654,0.000347
crtm_red_transporte_madrid:2123,Hernández De Tejada,emt,4,0.02473,0.0532,0.000533
crtm_red_transporte_madrid:3970,Avenida Santa Eugenia - Fuentespina,emt,3,0.02467,0.0406,0.000411
crtm_red_transporte_madrid:138,Pinar De Chamartín,emt,2,0.02458,0.0566,0.000264
crtm_red_transporte_madrid:3431,Arroyo Pozuelo - Anís,emt,4,0.0245,0.0402,0.000471
crtm_red_transporte_madrid:3500,Arturo Soria - Josefa Valcárcel,emt,2,0.02434,0.0558,0.000272
crtm_red_transporte_madrid:136,Arturo Soria - Cultura,emt,3,0.02425,0.054,0.000389
crtm_red_transporte_madrid:4220,Ingeniero Herrera - Príncipe Carlos,emt,3,0.02354,0.0488,0.000378
crtm_red_transporte_madrid:5397,Pi Y Margall - Príncipe Carlos,emt,3,0.02344,0.0448,0.000421
crtm_red_transporte_madrid:134,San Luis - Arturo Soria,emt,4,0.02325,0.0518,0.000496
crtm_red_transporte_madrid:4546,Metro Vicálvaro,emt,4,0.02312,0.0644,0.000407
crtm_red_transporte_madrid:4221,Álvarez De Villaamil,emt,2,0.02292,0.0467,0.000276
crtm_red_transporte_madrid:5599,Arroyo Pozuelo - Húmera,emt,4,0.02262,0.0387,0.000461
crtm_red_transporte_madrid:1170,Legazpi,emt,7,0.02257,0.0527,0.000795
crtm_red_transporte_madrid:1139,Verbena De La Paloma - La Chulapona,emt,3,0.02255,0.0416,0.000348
crtm_red_transporte_madrid:1111,Martínez De La Riva - Puerto Bonaigua,emt,3,0.02252,0.0502,0.00035
crtm_red_transporte_madrid:1926,Palos De La Frontera,emt,2,0.0224,0.0611,0.000237
crtm_red_transporte_madrid:4884,Plaza Ensidesa,emt,2,0.02223,0.0521,0.000288
crtm_red_transporte_madrid:52,Nuevos Ministerios - Castellana,emt,4,0.02217,0.0584,0.000477
crtm_red_transporte_madrid:756,Ventas,emt,3,0.02214,0.0595,0.000362
crtm_red_transporte_madrid:361,Millán Astray,emt,3,0.02194,0.0441,0.000416
crtm_red_transporte_madrid:515,Príncipe De Vergara - Serrano,emt,4,0.02192,0.0531,0.000441
crtm_red_transporte_madrid:649,Carabanchel Alto - La Peseta,emt,5,0.02179,0.0538,0.000626
crtm_red_transporte_madrid:4381,Plaza De Las Olivas,emt,2,0.02162,0.0497,0.000304
crtm_red_transporte_madrid:1143,Bohemios - La Del Manojo De Rosas,emt,4,0.02136,0.0401,0.000454
crtm_red_transporte_madrid:439,Colombia,emt,5,0.02135,0.0513,0.000558
crtm_red_transporte_madrid:3826,Castellana - Ravel,emt,3,0.02132,0.0513,0.000388
crtm_red_transporte_madrid:4782,Concejal Francisco Jiménez - Carboneras,emt,2,0.02123,0.0492,0.000237
crtm_red_transporte_madrid:4783,Arcentales - Avenida De Canillejas,emt,3,0.02114,0.0546,0.000349
crtm_red_transporte_madrid:4817,Veinticinco Septiembre - Ricardo Velázquez Bosco,emt,2,0.02101,0.0475,0.000308
crtm_red_transporte_madrid:51242,María De Molina - Serrano,emt,6,0.021,0.0609,0.000639
crtm_red_transporte_madrid:5399,Pi Y Margall - Alcalá Zamora,emt,3,0.02097,0.043,0.00045
crtm_red_transporte_madrid:227,Hospital Universitario Vithas,emt,2,0.02095,0.0508,0.000265
crtm_red_transporte_madrid:4578,Estación De Aravaca - Río Arlanzón,emt,5,0.02089,0.0373,0.000557
crtm_red_transporte_madrid:1489,Cuatro Torres,emt,3,0.0207,0.0526,0.000362
crtm_red_transporte_madrid:1013,Alto Del Arenal,emt,3,0.02066,0.0474,0.000355
crtm_red_transporte_madrid:793,Velázquez - María De Molina,emt,3,0.02062,0.0635,0.000327
crtm_red_transporte_madrid:225,Arturo Soria - Conservatorio,emt,4,0.02052,0.0487,0.000485
crtm_red_transporte_madrid:5851,Glorieta Del Yucatán,emt,2,0.02041,0.0455,0.000309
crtm_red_transporte_madrid:1015,Avenida De La Albufera - Pablo Neruda,emt,3,0.02022,0.0455,0.000362
crtm_red_transporte_madrid:3588,Avenida De Los Andes - Machupichu,emt,3,0.01998,0.0421,0.000427
crtm_red_transporte_madrid:5594,Avenida De Los Andes - Abelias,emt,2,0.01983,0.0438,0.0003
crtm_red_transporte_madrid:4366,Fuerzas Armadas - Pi Y Margall,emt,2,0.01973,0.0414,0.000307
crtm_red_transporte_madrid:1924,Prado - Atocha,emt,3,0.01971,0.0614,0.000346
crtm_red_transporte_madrid:93,La Vaguada,emt,2,0.01967,0.0466,0.000272
crtm_red_transporte_madrid:365,Blas Cabrera - Rafael Finat,emt,5,0.01965,0.0417,0.000647
crtm_red_transporte_madrid:5317,Josefa Valcárcel - Gutiérrez Canales,emt,4,0.01948,0.0642,0.000435
crtm_red_transporte_madrid:2255,Higueras,emt,4,0.01945,0.05,0.000442
crtm_red_transporte_madrid:1402,Basílica De Atocha,emt,8,0.01943,0.0608,0.000919
crtm_red_transporte_madrid:958,Marqués De Corbera - Ricardo Ortiz,emt,3,0.01939,0.0629,0.000371
crtm_red_transporte_madrid:1663,Glorieta Salvador Maella,emt,4,0.01938,0.0429,0.00048
crtm_red_transporte_madrid:4308,Puente De San Fernando,emt,2,0.01934,0.0415,0.000271
crtm_red_transporte_madrid:1531,Plaza Castilla,emt,3,0.01933,0.0503,0.000381
crtm_red_transporte_madrid:69,Cibeles,emt,5,0.0193,0.0606,0.000552
crtm_red_transporte_madrid:1001,Junta Municipal Puente De Vallecas,emt,3,0.01929,0.0581,0.00033
crtm_red_transporte_madrid:5362,Fuente Carrantona - José Bergamín,emt,2,0.01922,0.0646,0.000244
crtm_red_transporte_madrid:1367,Junta Municipal Fuencarral,emt,2,0.01919,0.045,0.000279
crtm_red_transporte_madrid:5919,Fuerzas Armadas - Parque Valdebebas,emt,2,0.01913,0.0399,0.00031
crtm_red_transporte_madrid:1189,Virgen De Los Desamparados - Totanes,emt,3,0.01912,0.0376,0.000361
crtm_red_transporte_madrid:2818,Embajadores - Santa María De La Cabeza,emt,4,0.0191,0.0597,0.000428
crtm_red_transporte_madrid:4552,San Cipriano,emt,3,0.01899,0.0606,0.000326
crtm_red_transporte_madrid:1928,Santa María De La Cabeza,emt,4,0.01897,0.0578,0.000431
crtm_red_transporte_madrid:1548,Metro Herrera Oria,emt,2,0.01894,0.0432,0.000259
crtm_red_transporte_madrid:758,El Carmen,emt,3,0.01892,0.0566,0.000384
crtm_red_transporte_madrid:1145,La Del Manojo De Rosas - Anoeta,emt,3,0.0189,0.0387,0.00035
crtm_red_transporte_madrid:2964,La Peseta - Maravedí,emt,5,0.01886,0.0513,0.000571
crtm_red_transporte_madrid:1003,Nueva Numancia,emt,3,0.01885,0.0553,0.000362
crtm_red_transporte_madrid:3287,Monforte De Lemos - Ganapanes,emt,2,0.01877,0.0438,0.00027
crtm_red_transporte_madrid:4309,Padre Huidobro - Carretera De Castilla,emt,2,0.01871,0.0399,0.000286
crtm_red_transporte_madrid:5982,Herrera Oria - Roda De Bará,emt,3,0.01866,0.0415,0.000399
crtm_red_transporte_madrid:1341,Parque Deportivo Puerta De Hierro,emt,3,0.01865,0.042,0.000372
crtm_red_transporte_madrid:680,Alcalá - Hermosilla,emt,4,0.01865,0.0645,0.000425
crtm_red_transporte_madrid:363,Mercado Las Águilas,emt,2,0.01864,0.0428,0.000276
crtm_red_transporte_madrid:29,Juzgados Plaza Castilla,emt,5,0.0186,0.049,0.000613
crtm_red_transporte_madrid:1059,Fuente Carrantona - García Tapia,emt,2,0.01859,0.0609,0.000266
crtm_red_transporte_madrid:5917,Fuerzas Armadas - Maragatería,emt,2,0.01855,0.0385,0.000304
crtm_red_transporte_madrid:1879,San Francisco El Grande,emt,5,0.01841,0.0559,0.000527
crtm_red_transporte_madrid:4784,Junta Municipal San Blas - Canillejas,emt,3,0.01836,0.052,0.000358
crtm_red_transporte_madrid:2026,López De Hoyos - Arturo Soria,emt,5,0.01829,0.0441,0.00055
crtm_red_transporte_madrid:1343,Instituto Llorente,emt,2,0.01825,0.0409,0.000269
crtm_red_transporte_madrid:3994,Consejería Economía Hacienda Y Empleo,emt,4,0.01824,0.0541,0.00046
crtm_red_transporte_madrid:4042,Benavente,emt,5,0.01822,0.0603,0.000614
crtm_red_transporte_madrid:5793,Escuela Escp,emt,3,0.01818,0.0402,0.000403
crtm_red_transporte_madrid:5899,Fuerzas Armadas - Francisco Umbral,emt,3,0.01817,0.0361,0.000396
crtm_red_transporte_madrid:3990,Vía Lusitana - Faro,emt,4,0.01813,0.0567,0.000446
crtm_red_transporte_madrid:3468,Blanca De Castilla - Camino De La Zarzuela,emt,2,0.01809,0.0385,0.000287
crtm_red_transporte_madrid:223,Arturo Soria - Bueso Pineda,emt,4,0.01805,0.0469,0.000471
crtm_red_transporte_madrid:1057,Fuente Carrantona - Luis De Hoyos,emt,2,0.01799,0.0576,0.000265
crtm_red_transporte_madrid:1875,Palacio Real,emt,4,0.01799,0.0551,0.000415
crtm_red_transporte_madrid:5915,Fuerzas Armadas - Maestra Dolores Marco,emt,2,0.01798,0.0373,0.000292
crtm_red_transporte_madrid:1364,Parque De La Vaguada,emt,5,0.01796,0.0433,0.000573
crtm_red_transporte_madrid:30,Plaza Castilla,emt,8,0.01789,0.0472,0.000972
crtm_red_transporte_madrid:4853,Aeropuerto T2 - Salidas,emt,5,0.01787,0.0644,0.000614
crtm_red_transporte_madrid:5137,Gran Vía - Pedro Zerolo,emt,4,0.01776,0.0594,0.000475
crtm_red_transporte_madrid:4371,Pavones,emt,4,0.0177,0.0547,0.000484
crtm_red_transporte_madrid:4070,Glorieta De San Vicente,emt,5,0.0177,0.0545,0.000475
crtm_red_transporte_madrid:6446,Húmera - Pueblo,emt,3,0.01756,0.0423,0.000425
crtm_red_transporte_madrid:51130,Cebreros - Higueras,emt,3,0.01754,0.0479,0.000348
crtm_red_transporte_madrid:3470,Cementerio De Aravaca,emt,2,0.01746,0.0371,0.000274
crtm_red_transporte_madrid:2349,Hellín - Albaida,emt,3,0.01744,0.0547,0.000347
crtm_red_transporte_madrid:2607,Pérez De Ayala - El Bosco,emt,3,0.01737,0.0566,0.000361
crtm_red_transporte_madrid:1920,Antón Martín,emt,2,0.01726,0.0629,0.000241
crtm_red_transporte_madrid:5345,Camino De La Zarzuela - Valdemarín,emt,4,0.01722,0.0358,0.000483
crtm_red_transporte_madrid:2048,Reina Cristina,emt,4,0.01715,0.0598,0.000462
